epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.886,0.85089,2.6035,1.17727,0.3828,0.37291,0.31256,0.2318,0.95334,1.98135,1.27224,0.000174937,0.000174937,0.000174937
2,374.898,0.85711,1.93113,1.16945,0.36124,0.49052,0.36523,0.27498,0.83182,1.69162,1.1577,0.000346802,0.000346802,0.000346802
3,532.284,0.85174,1.79285,1.16704,0.23971,0.60371,0.37047,0.27851,0.8873,1.6922,1.17805,0.000515196,0.000515196,0.000515196
4,691.72,0.83105,1.71622,1.15222,0.39008,0.49442,0.42361,0.30795,0.95957,1.55122,1.32496,0.000510378,0.000510378,0.000510378
5,848.007,0.7971,1.6068,1.12397,0.43054,0.54614,0.44488,0.34094,0.82531,1.49872,1.13601,0.00050517,0.00050517,0.00050517
6,1004.51,0.75792,1.50493,1.102,0.37939,0.66721,0.47109,0.37294,0.75803,1.35547,1.08796,0.000499963,0.000499963,0.000499963
7,1160.48,0.76201,1.48022,1.10845,0.35827,0.68766,0.51836,0.4051,0.78258,1.28025,1.09634,0.000494756,0.000494756,0.000494756
8,1316.83,0.73517,1.38523,1.08679,0.42159,0.72502,0.54801,0.43613,0.72803,1.166,1.03509,0.000489548,0.000489548,0.000489548
9,1472.83,0.73014,1.34776,1.07975,0.4722,0.65722,0.56757,0.45831,0.71774,1.17108,1.04516,0.000484341,0.000484341,0.000484341
10,1631.93,0.69496,1.29878,1.06551,0.55229,0.69103,0.62722,0.50846,0.70517,1.09026,1.04267,0.000479133,0.000479133,0.000479133
11,1787.66,0.70795,1.24708,1.06533,0.63586,0.67446,0.68185,0.5644,0.68399,0.98686,1.01496,0.000473926,0.000473926,0.000473926
12,1943.43,0.68838,1.20609,1.05562,0.73037,0.68565,0.76683,0.631,0.69344,0.86977,1.03233,0.000468719,0.000468719,0.000468719
13,2099.8,0.67962,1.14395,1.05711,0.7655,0.68842,0.75259,0.62403,0.70206,0.88188,1.02759,0.000463511,0.000463511,0.000463511
14,2254.93,0.67612,1.08917,1.05232,0.84676,0.70797,0.80894,0.67103,0.69334,0.7756,1.03591,0.000458304,0.000458304,0.000458304
15,2410.74,0.65716,1.03375,1.04926,0.75907,0.76891,0.8329,0.69965,0.67315,0.73466,1.01399,0.000453096,0.000453096,0.000453096
16,2566.55,0.66004,1.00959,1.0377,0.79771,0.80377,0.86822,0.72963,0.6818,0.6314,1.00573,0.000447889,0.000447889,0.000447889
17,2722.35,0.6597,0.97962,1.034,0.81696,0.7889,0.86374,0.72446,0.67785,0.6159,0.99302,0.000442682,0.000442682,0.000442682
18,2881.46,0.6561,0.92893,1.03988,0.82466,0.78928,0.85819,0.7155,0.6617,0.64136,0.9946,0.000437474,0.000437474,0.000437474
