epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.305,0.83865,2.594,1.17305,0.49512,0.40519,0.34432,0.25672,0.92217,1.89238,1.26105,0.00017454,0.00017454,0.00017454
2,335.636,0.82809,1.77642,1.14581,0.46165,0.44188,0.42116,0.28644,1.03465,1.90989,1.37549,0.000338327,0.000338327,0.000338327
3,483.481,0.84982,1.68765,1.15988,0.35868,0.54879,0.39903,0.30224,0.87346,1.73266,1.20482,0.000490543,0.000490543,0.000490543
4,638.229,0.80333,1.54025,1.12672,0.45062,0.52533,0.51085,0.39907,0.82007,1.44097,1.15083,0.000473926,0.000473926,0.000473926
5,798.655,0.77745,1.42204,1.11264,0.68098,0.57891,0.61582,0.49381,0.76209,1.17476,1.0965,0.000456568,0.000456568,0.000456568
6,958.465,0.73973,1.28076,1.09378,0.72432,0.60785,0.69736,0.56155,0.7753,1.06498,1.11372,0.00043921,0.00043921,0.00043921
7,1118.25,0.72565,1.16994,1.07977,0.66293,0.70179,0.73848,0.60286,0.70013,0.89157,1.05627,0.000421852,0.000421852,0.000421852
8,1273.29,0.70595,1.10397,1.07656,0.75941,0.77117,0.79606,0.65799,0.72122,0.79091,1.06617,0.000404494,0.000404494,0.000404494
9,1427.01,0.68236,1.02767,1.05605,0.79392,0.75632,0.82161,0.68537,0.68332,0.73601,1.04577,0.000387136,0.000387136,0.000387136
10,1580.63,0.67637,0.96754,1.05678,0.82334,0.75364,0.81857,0.67722,0.68464,0.9025,1.05962,0.000369778,0.000369778,0.000369778
11,1733.48,0.66984,0.91768,1.0484,0.87002,0.83284,0.88914,0.74755,0.64215,0.57582,1.0057,0.00035242,0.00035242,0.00035242
12,1887.07,0.64988,0.88043,1.04155,0.92413,0.80378,0.89308,0.74686,0.68626,0.55613,1.04067,0.000335062,0.000335062,0.000335062
13,2040.41,0.63873,0.86881,1.03521,0.90734,0.83471,0.90698,0.75758,0.66889,0.54065,1.03566,0.000317704,0.000317704,0.000317704
14,2193.81,0.64345,0.83074,1.03363,0.89431,0.83897,0.9099,0.76441,0.63931,0.59927,1.00058,0.000300346,0.000300346,0.000300346
15,2347.34,0.62513,0.79345,1.02543,0.91788,0.84879,0.9206,0.78511,0.61647,0.46324,0.99437,0.000282988,0.000282988,0.000282988
16,2500.57,0.61742,0.76516,1.01459,0.918,0.85622,0.91612,0.78185,0.62702,0.47143,0.99363,0.00026563,0.00026563,0.00026563
17,2653.56,0.60489,0.72974,1.01015,0.95162,0.84964,0.92554,0.78196,0.62286,0.44881,0.99594,0.000248272,0.000248272,0.000248272
18,2806.53,0.60416,0.72831,1.01623,0.9269,0.88871,0.94446,0.79744,0.62057,0.43254,0.99711,0.000230914,0.000230914,0.000230914
19,2960.04,0.59573,0.71136,1.00965,0.92552,0.88733,0.94549,0.80739,0.59792,0.42067,0.97611,0.000213556,0.000213556,0.000213556
20,3113.5,0.58215,0.68917,1.00102,0.92696,0.8897,0.9461,0.79973,0.61547,0.42343,0.98981,0.000196198,0.000196198,0.000196198
21,3261.4,0.57799,0.43132,0.9775,0.94492,0.90311,0.95228,0.79925,0.6235,0.40604,0.99233,0.00017884,0.00017884,0.00017884
22,3409.53,0.56515,0.40222,0.96417,0.9495,0.88793,0.95247,0.8107,0.60742,0.38859,0.98618,0.000161482,0.000161482,0.000161482
23,3558.13,0.55658,0.38069,0.96209,0.95514,0.89195,0.95868,0.81491,0.59258,0.37564,0.97069,0.000144124,0.000144124,0.000144124
24,3706.72,0.54375,0.37234,0.95727,0.95378,0.91097,0.96399,0.82204,0.58964,0.3549,0.96986,0.000126766,0.000126766,0.000126766
25,3855.42,0.53438,0.35721,0.94893,0.93603,0.90855,0.9597,0.82171,0.58185,0.34972,0.96484,0.000109408,0.000109408,0.000109408
26,4003.34,0.52405,0.33733,0.94343,0.93941,0.91225,0.95877,0.82457,0.57855,0.34358,0.9618,9.205e-05,9.205e-05,9.205e-05
27,4151.83,0.51924,0.32275,0.94332,0.9596,0.91145,0.96289,0.83075,0.57141,0.32461,0.95919,7.4692e-05,7.4692e-05,7.4692e-05
28,4300.37,0.50554,0.31083,0.92963,0.95996,0.91867,0.96091,0.83139,0.56726,0.31909,0.95342,5.7334e-05,5.7334e-05,5.7334e-05
29,4449.22,0.50512,0.30543,0.92873,0.96103,0.91409,0.96336,0.83624,0.55634,0.31007,0.94724,3.9976e-05,3.9976e-05,3.9976e-05
30,4598.12,0.49537,0.29623,0.9249,0.94759,0.92561,0.9631,0.83633,0.55859,0.30716,0.94915,2.2618e-05,2.2618e-05,2.2618e-05
